"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS4Y1"	5.49140645451726e-95	-1.11139303758865	0.112	0.6	9.0185368202537e-91
"JUN"	8.84322569502658e-32	-0.788369974246335	0.503	0.777	1.45232295589422e-27
"RPS26"	3.16243974471657e-31	-0.591514374811292	0.658	0.83	5.19367479274803e-27
"MT-ND1"	5.11933413842629e-27	-0.579653413034547	0.665	0.856	8.40748245553749e-23
"RP5-1171I10.5"	6.60819038946737e-26	-0.557993815062817	0.096	0.308	1.08526310766223e-21
"HIST1H2BN"	1.02831493772307e-21	-0.344504210206762	0.022	0.131	1.68880162222259e-17
"IFRD1"	3.58766600025652e-21	-0.495688836568043	0.068	0.233	5.89202387222128e-17
"EIF1AY"	3.92105669755836e-20	-0.285307275003824	0.02	0.118	6.43955141440009e-16
"HIST1H1D"	4.4665392232536e-19	-0.427544284827366	0.044	0.174	7.33539736634939e-15
"TMEM107"	1.44361041000329e-18	-0.459060305255174	0.046	0.174	2.37084137634841e-14
"PNISR"	3.43683507780617e-18	-0.415643540696194	0.341	0.6	5.64431424828108e-14
"RNU12"	3.94617989974126e-18	-0.449153374036652	0.026	0.128	6.48081124934507e-14
"HIST1H1E"	5.7449298618014e-17	-0.395633391189485	0.094	0.262	9.43489831203643e-13
"MT-ND5"	1.46164381177428e-16	-0.40132671381224	0.624	0.823	2.4004576320769e-12
"EEF2"	6.37056984972082e-16	-0.354709059841311	0.625	0.81	1.04623868641965e-11
"MT-ND4"	8.04389978891874e-15	-0.267440491161632	0.939	0.977	1.32104966233412e-10
"MT-ND2"	1.10744456856242e-14	-0.363474378121591	0.824	0.918	1.81875621495006e-10
"TRGC1"	1.29749736839108e-14	-0.452054433144357	0.032	0.128	2.13087992810868e-10
"HIST1H1C"	2.9767912665674e-14	-0.348503358066383	0.071	0.203	4.88878429708364e-10
"CD74"	1.15958433209915e-13	-0.421603895169265	0.665	0.826	1.90438534860643e-09
"NKTR"	3.99996889050868e-13	-0.405246480461127	0.187	0.361	6.5691489088824e-09
"PNN"	5.44928596900572e-13	-0.40365083211521	0.102	0.246	8.94936234689809e-09
"DDX17"	1.04550404955333e-12	-0.345184719881565	0.166	0.338	1.71703130058144e-08
"HLA-DPA1"	1.27302954778684e-12	-0.403364200138937	0.31	0.515	2.09069642633033e-08
"SLAMF7"	6.80051238355161e-12	-0.269499282054147	0.027	0.105	1.11684814875068e-07
"NEAT1"	8.52464573166422e-12	-0.363049059535994	0.408	0.607	1.40000256851121e-07
"SUN2"	3.39732361818144e-11	-0.376975358517887	0.162	0.321	5.57942457813937e-07
"UCP2"	1.10736033038307e-10	-0.37315645515441	0.368	0.554	1.81861787058811e-06
"RCSD1"	1.22193183183892e-10	-0.332032550005237	0.167	0.318	2.00677864742906e-06
"PSMD5-AS1"	1.22619126322548e-10	-0.295319373976312	0.07	0.18	2.0137739115952e-06
"NUCB2"	1.34461193695492e-10	-0.259175672057975	0.101	0.23	2.20825618406106e-06
"HLA-DRA"	1.45778352624968e-10	-0.377241552575319	0.229	0.397	2.39411788515984e-06
"FOSB"	1.77365475136674e-10	-0.575245497825642	0.12	0.246	2.9128731981696e-06
"CCL5"	1.9305516113716e-10	-0.509454131144425	0.468	0.607	3.17054491135558e-06
"EOMES"	2.0481866283646e-10	-0.280257676013954	0.028	0.102	3.36373689976318e-06
"MYLIP"	3.11878459370876e-10	-0.304174687266845	0.053	0.148	5.1219799382479e-06
"AKAP9"	3.12108934461547e-10	-0.345183887021641	0.141	0.282	5.12576503066198e-06
"MYO1F"	4.88790094744767e-10	-0.379525146773326	0.272	0.439	8.02739972599331e-06
"AMD1"	6.51004645145526e-10	-0.290055564796876	0.077	0.187	1.0691449287225e-05
"HMHA1"	6.61402336066812e-10	-0.300562208385588	0.151	0.298	1.08622105652252e-05
"PCSK7"	1.12203537574543e-09	-0.316505054167871	0.222	0.38	1.84271869758673e-05
"SNRNP70"	1.23562592035212e-09	-0.316998986997498	0.137	0.272	2.02926844899429e-05
"RSRP1"	1.37313803749687e-09	-0.302351936764296	0.268	0.443	2.25510459898111e-05
"HEXA"	1.59520895056667e-09	-0.31131829727966	0.056	0.148	2.61981165951564e-05
"ITSN2"	1.80704187701024e-09	-0.302272896762754	0.1	0.216	2.96770487461392e-05
"NKG7"	1.86492182747991e-09	-0.539185783600943	0.375	0.508	3.06276111727026e-05
"UPF3B"	3.03659617517764e-09	-0.250103265129269	0.034	0.108	4.98700189849423e-05
"ARPC4"	3.46639463834201e-09	-0.270110551513189	0.256	0.43	5.69285991454908e-05
"SAT1"	3.88648449120103e-09	-0.36458599598618	0.306	0.472	6.38277347989946e-05
"KLRG1"	4.13914989095804e-09	-0.420682244141071	0.161	0.295	6.79772586592039e-05
"RBM39"	6.20185602111619e-09	-0.28466367612104	0.346	0.521	0.000101853081434791
"TRA2A"	7.39376608327785e-09	-0.255345952665166	0.103	0.22	0.000121427820385672
"UNC13D"	7.73893029897696e-09	-0.287625985546983	0.05	0.134	0.000127096452300099
"LUC7L3"	9.67603752855518e-09	-0.27266663912999	0.152	0.285	0.000158909564331462
"SYNE1"	1.05716402539816e-08	-0.277656623193383	0.082	0.187	0.000173618047891139
"GZMH"	1.19082595539614e-08	-0.500420434628706	0.167	0.295	0.000195569346654709
"PLEK"	1.57302939073796e-08	-0.302087113729088	0.097	0.207	0.000258338616840895
"FUS"	1.5765811516493e-08	-0.36595560494535	0.336	0.489	0.000258921922535365
"MBP"	1.58027607578474e-08	-0.263507865762138	0.166	0.305	0.000259528739926129
"PRKAG2"	1.6141881381122e-08	-0.258466137042081	0.035	0.105	0.000265098117922167
"CD8A"	3.7515800946745e-08	-0.316955623848555	0.106	0.216	0.000616121998948393
"EIF4G2"	3.98265641960831e-08	-0.260045513392649	0.203	0.348	0.000654071663792273
"ID2"	5.29561381371682e-08	-0.311844058677187	0.298	0.456	0.000869698656626714
"HLA-DPB1"	7.77940011245037e-08	-0.341281164277284	0.381	0.531	0.00127761088046772
"STK17A"	9.13699739113116e-08	-0.258693220192981	0.246	0.4	0.00150056908154547
"ITGA4"	1.7512686982835e-07	-0.250883421570601	0.149	0.272	0.00287610858319099
"PHIP"	1.81347710699113e-07	-0.322832600910829	0.1	0.2	0.00297827345281153
"FCRL6"	2.17836658549528e-07	-0.291827348068408	0.054	0.131	0.0035775314433589
"TGOLN2"	2.21974827219003e-07	-0.284284327648689	0.084	0.177	0.00364549258741768
"PBXIP1"	2.5022177695362e-07	-0.266010266051593	0.21	0.348	0.00410939224290931
"NUCKS1"	2.91370746988094e-07	-0.267559007714303	0.168	0.289	0.00478518177778547
"SLFN5"	2.94454276803755e-07	-0.270752015068593	0.149	0.266	0.00483582258794808
"CNN2"	3.3517427521589e-07	-0.30770065295464	0.216	0.344	0.00550456712187056
"MATK"	3.92969314733996e-07	-0.301379262882926	0.064	0.144	0.00645373505587641
"WIPF1"	9.3945402272634e-07	-0.251259081753307	0.207	0.334	0.0154286534152347
"CDC42SE2"	1.00036399195126e-06	-0.276389361459086	0.215	0.338	0.0164289778398155
"LITAF"	1.1024974944484e-06	-0.26941032362344	0.301	0.449	0.018106316351326
"POLR1D"	1.66706254477958e-06	-0.282690188244445	0.159	0.269	0.027378168172915
"DDX3X"	1.70183904421951e-06	-0.305352460602035	0.184	0.302	0.0279493026232169
"TSC22D4"	2.34414418505039e-06	-0.251268878590575	0.191	0.308	0.0384978799510826
"IER2"	2.38415998285309e-06	-0.26501466203746	0.481	0.63	0.0391550593983963
"AKNA"	2.57850062014171e-06	-0.281975805433034	0.122	0.223	0.0423467156845873
"CCNI"	2.97489909711852e-06	-0.264316887910621	0.386	0.518	0.0488567678719775
"IL10RA"	3.10548063092316e-06	-0.257014474008175	0.223	0.344	0.051001308401651
"CSDE1"	3.70202790299579e-06	-0.257960520967932	0.18	0.295	0.0607984042508999
"SLF1"	6.8786276557574e-06	-0.268338646909866	0.08	0.157	0.112967701990504
"ARGLU1"	1.18850225384066e-05	-0.259950427896474	0.25	0.37	0.195187725148252
"TAP1"	1.19052400893585e-05	-0.316913790596538	0.222	0.331	0.195519757987534
"CD8B"	1.35635299827152e-05	-0.271989874549007	0.125	0.22	0.222753852906131
"MYO1G"	1.64556446075976e-05	-0.266022296912458	0.173	0.272	0.270251051390575
"SRSF1"	5.62374835446495e-05	-0.284687567596072	0.088	0.157	0.923588192253779
"FGFBP2"	0.000119921061799889	-0.263469762489817	0.079	0.144	1
"CTSW"	0.00016971885937043	-0.29099116822073	0.358	0.462	1
"CMC1"	0.000416270555562024	-0.329723641969672	0.146	0.22	1
