"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"NAP1L1"	4.33321475506954e-52	-0.53669975201015	0.364	0.67	7.11643859225071e-48
"RPS23"	2.35905596191947e-51	-0.285904023699316	0.897	0.986	3.87427760626035e-47
"RPS11"	4.63711409493221e-51	-0.326204561793129	0.828	0.968	7.61553247810716e-47
"CD44"	1.17623643022005e-50	-0.409444379403502	0.381	0.723	1.93173308935039e-46
"STXBP2"	3.16251837295096e-48	-0.447265147112299	0.416	0.723	5.19380392389736e-44
"GPX4"	1.35492467538436e-47	-0.441116528418819	0.402	0.709	2.22519279438374e-43
"ARPC3"	2.25362097078491e-47	-0.376233176052695	0.674	0.906	3.70112172032006e-43
"ACTG1"	8.15477710458598e-47	-0.334989486782717	0.679	0.914	1.33925904388616e-42
"EIF1"	1.142110168752e-46	-0.280250372024339	0.898	0.985	1.87568753014141e-42
"RPL9"	7.80311645575515e-46	-0.311529529703286	0.853	0.974	1.28150581552867e-41
"RPS8"	9.81732245197916e-46	-0.285172619528915	0.889	0.983	1.61229886628854e-41
"KLF4"	1.32084172602807e-45	-0.455451972479447	0.164	0.429	2.1692183666559e-41
"TSPYL2"	2.97107848512395e-45	-0.385180004256452	0.01	0.153	4.87940219611907e-41
"FAM46A"	4.63966012407153e-45	-0.435320433661648	0.085	0.301	7.61971382176267e-41
"EEF1B2"	6.20567031213164e-45	-0.373525730107795	0.398	0.692	1.01915723536138e-40
"SLC2A6"	1.09269010104552e-44	-0.450803610197711	0.066	0.263	1.79452495294705e-40
"CIRBP"	1.01565635169498e-43	-0.40184751985479	0.302	0.607	1.66801242638866e-39
"TOMM7"	1.4467129881729e-43	-0.351498508813397	0.478	0.793	2.37593674047635e-39
"DDX3Y"	9.96091170578897e-43	-0.403454046510088	0.01	0.147	1.63588052944172e-38
"RPL5"	4.21423577708793e-42	-0.341044965780665	0.655	0.886	6.92103941671151e-38
"LSP1"	5.97131026070812e-41	-0.316754586795581	0.433	0.737	9.80668284116095e-37
"TKT"	3.42499219089579e-40	-0.369263856363304	0.48	0.764	5.62486467510816e-36
"RPS13"	8.66719511680035e-40	-0.272360688489925	0.916	0.985	1.42341345403212e-35
"RNH1"	1.25469009048625e-39	-0.371175716286541	0.294	0.579	2.06057753560557e-35
"LGALS3"	5.77298797226042e-39	-0.363406964035704	0.342	0.627	9.48097814684329e-35
"RPL38"	1.47318698478152e-38	-0.273099489618031	0.807	0.975	2.41941498510669e-34
"MT-ND3"	1.61917407355653e-38	-0.271157754833284	0.905	0.993	2.65916958100188e-34
