"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"EEF1A1"	0	1.05790432008764	0.922	0.75	0
"RPL41"	0	1.0383334650492	0.973	0.849	0
"RPL39"	0	0.934689103919184	0.921	0.698	0
"TMSB4X"	3.30074889422658e-206	0.351111420315066	0.997	1	5.42081990898831e-202
"H3F3A"	4.43292582536236e-181	1.01746981241516	0.592	0.186	7.28019408299261e-177
"GNLY"	2.55250703598928e-151	0.668768345494429	0.854	0.599	4.19198230520519e-147
"RPS29"	2.28619182299663e-140	0.423959182675461	0.984	0.989	3.75461283090737e-136
"S100A4"	1.76166383534876e-105	0.436553959371258	0.933	0.953	2.89318051679327e-101
"AC090498.1"	2.77949573629299e-100	1.46087104641467	0.343	0.081	4.56476584771397e-96
"RPS28"	2.9509778092135e-97	0.384174805249751	0.956	0.957	4.84639085607133e-93
"RPS27"	9.59704150077347e-73	0.251549241004876	0.995	0.999	1.57612212567203e-68
"HMGN2"	7.86121592455747e-68	0.741110665126248	0.383	0.168	1.29104749129007e-63
"RPL22"	3.13698313322393e-66	0.52744109978075	0.661	0.551	5.15186739969365e-62
"PFN1"	7.67063330121626e-61	0.279025729141882	0.95	0.981	1.25974810705875e-56
"RPL36A"	4.26797223205902e-53	0.54256197617093	0.677	0.578	7.00929079671054e-49
"S100A6"	1.38991673652379e-49	0.35505675023555	0.851	0.859	2.28266025639302e-45
"NBEAL1"	1.00353777159536e-45	0.802874448401787	0.294	0.135	1.64811008229106e-41
"ZNF683"	5.0995106717907e-44	0.595662686167384	0.364	0.195	8.37492637628186e-40
"ITGB1"	4.7804205514183e-43	0.608300679369779	0.359	0.199	7.85088467159427e-39
"TMA7"	1.92183109702786e-38	0.395761469644	0.745	0.714	3.15622321064886e-34
"LGALS1"	2.04675127595298e-37	0.469829722334644	0.62	0.521	3.36137962049758e-33
"S100B"	1.71236151754576e-36	0.714665856064587	0.144	0.03	2.81221132026541e-32
"GZMA"	2.51177115429925e-36	0.323907443354707	0.828	0.858	4.12508176670565e-32
"S100A11"	3.31118321529904e-30	0.480431707927261	0.526	0.439	5.43795619448561e-26
"TIMP1"	2.16782593018726e-29	0.551737558927069	0.195	0.082	3.56022052514654e-25
"EIF5A"	2.35005477163333e-29	0.472281926451444	0.362	0.233	3.85949495145341e-25
"GZMB"	1.08455107083109e-28	0.466449217851845	0.564	0.461	1.7811582236259e-24
"RPS10"	2.39039903754432e-27	0.327279489799352	0.725	0.718	3.92575233935903e-23
"TRAC"	3.8616334714923e-24	0.300616928710892	0.711	0.688	6.3419606502318e-20
"CDC26"	6.04679892403548e-24	0.380387729525239	0.11	0.029	9.93065787294346e-20
"M6PR"	1.42517623311933e-21	0.425041584920117	0.183	0.088	2.34056692765188e-17
"FAM215B"	1.4409172981579e-21	0.344508690582437	0.11	0.032	2.36641847876472e-17
"XIST"	1.37046383922364e-20	0.329218403326213	0.137	0.053	2.25071276315698e-16
"PGAM1"	1.35378616966498e-19	0.352395342138214	0.202	0.107	2.22332302644079e-15
"RPL17"	4.40317907453888e-16	0.524498399928827	0.37	0.317	7.2313409941152e-12
"HNRNPA1"	1.80700169402244e-14	0.259987635134905	0.617	0.626	2.96763888209305e-10
"PSMC1"	6.94102066829899e-14	0.294987102430857	0.108	0.047	1.13992382435474e-09
"ATP5EP2"	1.52533174077249e-13	0.433503498003511	0.13	0.068	2.50505231787066e-09
"ALOX5AP"	3.38582591222015e-13	0.426588831663104	0.267	0.195	5.56054189563915e-09
"HLA-DRB5"	4.99700135055181e-12	0.319498708355941	0.121	0.063	8.20657531801125e-08
"TRGC2"	5.68591989502423e-12	0.320836375456194	0.466	0.421	9.33798624359829e-08
"SPCS2"	5.19359622462385e-10	0.288454892338243	0.354	0.297	8.52944307969975e-06
"EIF1AX"	1.16248137979748e-09	0.275080756800855	0.129	0.076	1.90914317004141e-05
"COX6A1"	1.3380848660297e-09	0.295532072545842	0.45	0.421	2.19753677548057e-05
"POLR2J3"	2.01730918253216e-09	0.286520445778039	0.118	0.068	3.31302687047257e-05
"NDUFA13"	5.84022537950137e-09	0.377795992751228	0.32	0.279	9.59140214075509e-05
"CCL4"	1.11395702059305e-08	0.32548350508315	0.413	0.381	0.000182945161491997
"HSPB1"	1.95489583378782e-08	0.307708826612115	0.144	0.095	0.000321052542782974
"UBE2L3"	2.43725379907757e-08	0.301980488649992	0.298	0.251	0.000400270191422509
"PET100"	1.36605484001732e-07	0.347678127949101	0.253	0.209	0.00224347186376044
"PRSS23"	1.10556436613534e-06	0.292054135809238	0.216	0.171	0.0181566835850407
"CD320"	6.24369784439824e-05	0.265175377804937	0.164	0.13	1
"BLOC1S1"	0.000191676495345267	0.258109852429378	0.329	0.309	1
"ISG15"	0.000275313955997008	0.286356206013445	0.303	0.282	1
"ATP5I"	0.00317443345584777	0.293161093835679	0.38	0.391	1
"AC092580.4"	0.0124332177329476	0.304487718138232	0.298	0.296	1
"NDUFA3"	0.0233134391152972	0.252970101237857	0.323	0.328	1
