"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"TSTD1"	1.44270660304619e-225	-0.36261135019838	0.343	0.579	2.36935705418275e-221
"UQCR11"	3.78317977340646e-224	-0.328961450673809	0.373	0.615	6.21311614186543e-220
"LAPTM5"	2.1022096601769e-222	-0.351144958670392	0.626	0.839	3.45245892490852e-218
"COX6B1"	1.15441796311906e-221	-0.336049658382615	0.339	0.577	1.89590062083044e-217
"ISG20"	4.3941029601223e-221	-0.387511919219213	0.365	0.596	7.21643529140885e-217
"NSMCE1"	8.03031804794783e-220	-0.415769510048888	0.193	0.395	1.31881913301447e-215
"RNH1"	8.56073576375544e-220	-0.390153350096074	0.179	0.378	1.40592963448156e-215
"SRGN"	3.34608635556647e-218	-0.425486886267526	0.239	0.446	5.49527762174681e-214
"GPM6A"	6.41201868102419e-217	-0.375257474610207	0.019	0.123	1.0530458279846e-212
"MIF4GD"	1.58181843819388e-214	-0.394168446813436	0.071	0.219	2.59782042104581e-210
"ANXA6"	6.47566681662428e-214	-0.399755496066405	0.095	0.256	1.06349876129421e-209
"SH3BP5"	2.06570795313564e-213	-0.345506089408125	0.222	0.434	3.39251217143467e-209
"S100A10"	1.48444157994215e-212	-0.572298585705756	0.136	0.305	2.43789840673899e-208
"LDHA"	3.74864990398783e-208	-0.419736034404568	0.094	0.249	6.15640773731922e-204
"CD99"	8.04096407471164e-203	-0.42388711343419	0.191	0.378	1.32056752998989e-198
"HLA-DPB1"	2.33576947494795e-200	-0.281715338471658	0.79	0.932	3.83603420870702e-196
"LAG3"	1.65930111662578e-198	-0.447856220780637	0.034	0.146	2.72507022383452e-194
"ATOX1"	4.38691391986123e-198	-0.397549639674792	0.155	0.335	7.2046287305881e-194
"PLPP5"	2.19403362458061e-197	-0.355723114358684	0.023	0.126	3.60326142164874e-193
"IL4R"	7.20270053674455e-196	-0.434171982929221	0.188	0.372	1.18289950914956e-191
"SHMT2"	9.68989974942325e-193	-0.378336638750832	0.055	0.181	1.59137223584778e-188
"C1orf162"	1.03026552510823e-192	-0.413342215122115	0.145	0.314	1.69200507188525e-188
"CTSZ"	5.48687654495973e-192	-0.316422749069835	0.12	0.286	9.01109734978736e-188
"LRMP"	6.16165007642099e-190	-0.386915146726949	0.175	0.354	1.01192779205062e-185
"SEC61B"	2.93288048366039e-189	-0.32730628296885	0.239	0.441	4.81666961831545e-185
"NOP10"	6.11049802539916e-188	-0.373045684615866	0.192	0.376	1.0035270907113e-183
"EMP3"	8.12009682541594e-188	-0.40334395518132	0.369	0.574	1.33356350163806e-183
"ATP5B"	2.94228260938195e-187	-0.368418266789031	0.223	0.417	4.83211072938798e-183
"EVI2B"	5.52209056952084e-187	-0.343709399036381	0.33	0.544	9.06892934232407e-183
"APOBEC3G"	1.07035159778313e-184	-0.35662185806105	0.211	0.402	1.75783842903924e-180
"LTA4H"	2.88544402392639e-183	-0.367384221823966	0.144	0.313	4.73876472049432e-179
"RASGRP3"	3.02318669679323e-182	-0.315455695059253	0.044	0.159	4.96497951214352e-178
"PCGF5"	1.27056795124944e-181	-0.355639254503025	0.092	0.236	2.08665374633696e-177
"MBD4"	1.41193763554356e-180	-0.357455172848932	0.129	0.29	2.31882517885319e-176
"HVCN1"	7.02879457329313e-178	-0.337399722420951	0.189	0.372	1.15433893277193e-173
"SMIM14"	6.60501767991329e-177	-0.35897324664888	0.195	0.376	1.08474205357216e-172
"CCDC50"	1.93693988948856e-176	-0.315335490375427	0.091	0.235	3.18103638050707e-172
