"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS4Y1"	0	-0.972789957731965	0.106	0.541	0
"JUN"	1.03215083103181e-291	-1.22102814758384	0.239	0.665	1.69510130980355e-287
"HIST1H2BN"	4.69178795014482e-173	-0.613484986683695	0.011	0.152	7.70532335052283e-169
"TRGC1"	5.49796327637573e-173	-0.794094046285516	0.111	0.395	9.02930508879186e-169
"HIST1H2BG"	5.10283973301184e-172	-0.573482169734924	0.006	0.129	8.38039369352535e-168
"HIST2H2BE"	2.08505097680582e-171	-0.561911736727022	0.007	0.135	3.42427921920821e-167
"RP5-1171I10.5"	2.01989081166773e-160	-0.672822943718302	0.087	0.338	3.31726668000191e-156
"RPS26"	1.96115119685327e-152	-0.53213898427453	0.617	0.866	3.22079861059213e-148
"HIST1H1E"	5.43138199751603e-131	-0.60877133412193	0.078	0.295	8.91995865452057e-127
"NEAT1"	3.75336906054064e-122	-0.551418192398505	0.352	0.665	6.16415800812589e-118
"RP1-34B20.21"	5.64007808147812e-121	-0.4825248474942	0.007	0.104	9.26270023321151e-117
"HIST1H1D"	2.39416445865619e-105	-0.559196615021573	0.036	0.179	3.93193629045106e-101
"MT-ND1"	1.13007550374862e-94	-0.393479911290744	0.546	0.819	1.85592299980636e-90
"RNU12"	5.37556714314258e-94	-0.445544952706718	0.017	0.121	8.82829391918307e-90
"HIST1H1C"	1.83220245173175e-90	-0.497685776414142	0.056	0.211	3.00902608647905e-86
"TMEM107"	1.86819023822445e-85	-0.492693913412626	0.056	0.205	3.06812882823602e-81
"FUS"	2.8354506559257e-79	-0.458131605881646	0.308	0.57	4.65666061222678e-75
"NKTR"	6.82715185643865e-79	-0.420532978342972	0.137	0.34	1.12122314938292e-74
"HEXIM1"	3.06579534853106e-74	-0.409170017554164	0.032	0.143	5.03495570089257e-70
"DDX17"	1.50633930024847e-72	-0.402848191218311	0.151	0.351	2.47386103279807e-68
"EEF2"	5.6243397420113e-72	-0.401826078561489	0.428	0.683	9.23685315830516e-68
"CD160"	2.68144206757297e-68	-0.475053343854558	0.067	0.205	4.40373230757509e-64
"SAT1"	3.93105823313113e-67	-0.566292771249594	0.238	0.449	6.45597693627125e-63
"PPP1R10"	1.19416039601841e-57	-0.382151405113825	0.056	0.174	1.96116961838104e-53
"GABPB1-AS1"	1.8710842769592e-57	-0.348487137245924	0.066	0.192	3.07288170805009e-53
"MT-ND2"	3.02257511034095e-57	-0.287922836282366	0.711	0.882	4.96397510371295e-53
"ARHGAP30"	2.10341473534469e-56	-0.33090108155588	0.185	0.374	3.45443801985659e-52
"AKNA"	3.8355997711568e-54	-0.287893119696147	0.151	0.325	6.29920550417081e-50
"PSMD5-AS1"	1.06716463779765e-52	-0.290761215477528	0.042	0.142	1.75260448465508e-48
"TRDC"	2.94589028607944e-52	-0.595130896287997	0.105	0.246	4.83803561682827e-48
"LUC7L3"	3.05088931285312e-51	-0.342851444960634	0.136	0.294	5.01047551849869e-47
"SUN2"	6.09285165664444e-51	-0.297129993040677	0.191	0.373	1.00062902757072e-46
"HMHA1"	1.33889807141508e-50	-0.297812711834355	0.127	0.281	2.19887230268499e-46
"WDR74"	4.19788227404172e-50	-0.315335515941254	0.062	0.176	6.89418205865871e-46
"BTG1"	2.70611245569521e-49	-0.346580243672269	0.545	0.751	4.44424848598824e-45
"IER2"	9.32677740704559e-49	-0.389539377281725	0.39	0.595	1.5317366535591e-44
"PNISR"	7.71207152633629e-48	-0.313444211763952	0.274	0.474	1.26655350677021e-43
"C12orf57"	2.69955652311009e-47	-0.313374697230282	0.219	0.406	4.4334816779037e-43
"PRRC2C"	4.15622528438372e-47	-0.289090678029723	0.172	0.341	6.82576878454338e-43
"CD74"	2.06445416881072e-45	-0.385380141544377	0.655	0.827	3.39045308143784e-41
