"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"CEP78"	6.00427678364108e-45	-0.320182844568075	0.108	0.241	9.86082376177374e-41
"FOSB"	8.54635924506301e-45	-0.387414564376579	0.055	0.154	1.4035685788167e-40
"HLA-DRA"	1.24878055599703e-44	-0.468123921220003	0.286	0.467	2.05087230711393e-40
"GCC2"	1.50441546053636e-44	-0.317050597563729	0.105	0.236	2.47070151083886e-40
"ARGLU1"	1.79916330480584e-44	-0.294091840754587	0.218	0.399	2.95476589548263e-40
"EIF4G2"	2.90257499810589e-44	-0.296474010006652	0.17	0.332	4.76689891938931e-40
"CMC1"	4.55186044920088e-44	-0.372331275983459	0.225	0.399	7.4755204157226e-40
"AMD1"	2.17590442088525e-43	-0.279644575098745	0.059	0.161	3.57348783041985e-39
"TLE4"	4.59433535712979e-43	-0.285178300582385	0.062	0.166	7.54527695701426e-39
"ATRX"	5.1363742293405e-42	-0.266579468011058	0.153	0.305	8.4354673968459e-38
"SRSF5"	8.57094073409752e-42	-0.286359999975558	0.394	0.608	1.40760559676084e-37
"A2M-AS1"	2.1984186170939e-41	-0.294649279320327	0.055	0.15	3.61046289485331e-37
"PRKCH"	3.55458753849548e-41	-0.298451251596794	0.139	0.279	5.83769911447113e-37
"CCNI"	7.44252173251369e-41	-0.295001128010244	0.257	0.438	1.22228534413072e-36
"FYN"	1.76552594765761e-40	-0.279159216773828	0.145	0.288	2.8995232638381e-36
"CASP8"	3.27665959398182e-39	-0.295727733235065	0.114	0.241	5.38125805119635e-35
"VMP1"	3.18518552884047e-38	-0.279683192715435	0.077	0.184	5.2310301940147e-34
"PNN"	4.13025772962002e-37	-0.300066811576756	0.102	0.22	6.78312226935496e-33
"TRAF3IP3"	4.22970894281279e-37	-0.289555649302273	0.341	0.534	6.94645099678144e-33
"EBLN3"	5.23602550265136e-37	-0.258115483707765	0.042	0.123	8.59912468300433e-33
"TTC14"	2.71031009997565e-36	-0.270506023375628	0.085	0.194	4.45114227719001e-32
"COTL1"	2.46066827064397e-35	-0.289976514265337	0.268	0.437	4.04115550087859e-31
"ARID4B"	7.30941252835883e-34	-0.258283676791587	0.165	0.303	1.20042481953237e-29
"PTPN6"	1.04155924065836e-33	-0.251313836396272	0.141	0.269	1.71055274093323e-29
"PCSK7"	3.21766202288087e-33	-0.265020704918735	0.2	0.346	5.28436634017725e-29
"UCP2"	2.44076876833661e-31	-0.268750800025984	0.412	0.597	4.00847454823922e-27
"SELL"	6.45077128196643e-31	-0.296534499570101	0.131	0.249	1.05941016763735e-26
"FGR"	7.93921628446166e-31	-0.293812411961626	0.154	0.28	1.30385749039714e-26
"HLA-DPA1"	2.20180750319055e-27	-0.252880590744919	0.463	0.632	3.61602846248984e-23
"IFNG"	4.09832319737246e-27	-0.326112918395564	0.068	0.149	6.73067618704479e-23
"CITED2"	1.13845466106014e-24	-0.289138645587626	0.107	0.201	1.86968408985907e-20
"TUBA1A"	4.30294764570703e-24	-0.256125767023446	0.162	0.274	7.06673091854465e-20
