"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"IL1B"	6.53199767962996e-17	0.806157354252651	0.213	0.106	1.07274997892563e-12
"IL32"	2.0155370346377e-16	1.06405619699664	0.19	0.084	3.31011647198549e-12
"GIMAP4"	5.77830578551764e-16	0.507966237014033	0.434	0.346	9.48971159155561e-12
"TRAC"	6.55377305509383e-15	0.806184989494538	0.117	0.036	1.07632614883806e-10
"GZMA"	8.55842479938097e-15	0.888688794639581	0.129	0.044	1.40555010480234e-10
"GTF2I"	1.08991716096504e-14	0.410009756729266	0.108	0.031	1.78997095345288e-10
"SERPING1"	1.91999778998845e-14	0.354505617634093	0.101	0.027	3.15321237049803e-10
"IFI44"	2.56169515596632e-14	0.457643831091165	0.169	0.075	4.20707195464349e-10
"CLEC12A"	4.56158207407372e-14	0.538787932961625	0.471	0.409	7.49148624025128e-10
"CD3D"	1.76142039960472e-13	0.71317204036613	0.126	0.046	2.89278072227084e-09
"POMP"	1.81476920105252e-13	0.41500533170691	0.609	0.616	2.98039545888855e-09
"IFI16"	2.2197789535614e-13	0.499895364300201	0.451	0.388	3.64554297543388e-09
"GBP5"	2.86037632621151e-13	0.568801663126181	0.243	0.148	4.69759604053716e-09
"CST7"	3.23156606799853e-13	0.661635549941892	0.107	0.034	5.30720095347398e-09
"CTSW"	4.33754163904971e-13	0.736342470137645	0.116	0.041	7.12354463381133e-09
"GZMH"	8.57854175477831e-12	0.860516814296187	0.133	0.056	1.40885391238724e-07
"STAT1"	9.12800423502793e-12	0.467540132275895	0.408	0.333	1.49909213551864e-07
"ERAP2"	4.47546762541353e-11	0.366453332064814	0.154	0.076	7.35006048121664e-07
"FAM103A1"	4.63856950717832e-11	0.273568529995823	0.101	0.036	7.61792270163896e-07
"ITGB1"	5.1393396289393e-11	0.54113301385436	0.166	0.089	8.440337472607e-07
"HLA-DQB1"	6.23622856631786e-11	0.417514811013941	0.526	0.483	1.02417581744638e-06
"CCR1"	2.01364886472165e-10	0.376547419233004	0.156	0.079	3.30701553053237e-06
"PET100"	3.2039285631928e-10	0.542366125796063	0.381	0.323	5.26181187933154e-06
"CCL5"	3.90106591584805e-10	1.0489147665099	0.195	0.116	6.40672055359726e-06
"NKG7"	1.0871213449993e-09	1.02761751094128	0.307	0.234	1.78537938489234e-05
"PLAC8"	2.08201198226912e-09	0.454909247672296	0.544	0.543	3.41928827848057e-05
"NRG1"	2.63745814852398e-09	0.333621320920873	0.112	0.049	4.33149751732093e-05
"M6PR"	6.63687430527059e-09	0.410975237006868	0.209	0.136	0.000108997386715459
"FAM133B"	7.55201713536975e-09	0.495849449431485	0.209	0.139	0.000124026777414177
"BST2"	3.25974388148243e-08	0.422558104501722	0.533	0.558	0.000535347737655859
"IFI35"	4.98759156183769e-08	0.445779667550589	0.323	0.263	0.000819112162200603
"RPS29"	8.3787084798088e-08	0.261271462996146	0.929	0.979	0.001376035293639
"ISG20"	1.12387097760121e-07	0.426796301989198	0.176	0.111	0.00184573330651447
"UBE2L3"	1.54129802778224e-07	0.450833760706558	0.292	0.236	0.00253127375102678
"GLUL"	1.88783816631364e-07	0.442208763182619	0.375	0.332	0.00310039662053689
"APOBEC3A"	2.53350942439231e-07	0.468961628374534	0.327	0.266	0.0041607825276795
"FGL2"	2.61805462262706e-07	0.303726247911753	0.636	0.699	0.00429963110674042
"MYL12A"	2.83559752667874e-07	0.262709670105378	0.751	0.817	0.00465690181806449
"BCL2A1"	3.20723999102718e-07	0.468479079928438	0.359	0.312	0.00526725023726393
"SOD2"	4.92249194315844e-07	0.44778430523908	0.496	0.48	0.0080842085182491
"MS4A4A"	5.16538158906098e-07	0.376460213046053	0.149	0.094	0.00848310618371484
"UQCR11"	5.75764836259704e-07	0.296713522014844	0.679	0.74	0.00945578590589312
"FPR1"	6.96250176871064e-07	0.368638543488744	0.382	0.34	0.0114345166547535
"CARD16"	8.95054379909515e-07	0.303770494614837	0.657	0.731	0.014699478081254
"EGR1"	1.29760863093293e-06	0.464807793325105	0.132	0.078	0.0213106265458114
"SOCS3"	1.30645967265206e-06	0.460115078982246	0.164	0.11	0.0214559872039647
"PSMB3"	1.44870021722481e-06	0.303345725305636	0.592	0.641	0.023792003667483
"SAMD9"	1.66198994913738e-06	0.317418868484844	0.157	0.101	0.0272948609346832
"SDCBP"	2.86223223491319e-06	0.410347603422965	0.454	0.448	0.0470064399939793
"PLSCR1"	2.99566886421007e-06	0.383857827155657	0.291	0.241	0.049197869756922
"GBP2"	3.31260885993644e-06	0.400673610263058	0.353	0.315	0.0544029753067362
"RPS10"	4.51504253180187e-06	0.261276287077489	0.661	0.72	0.074150543499782
"SPCS2"	5.12749179049987e-06	0.395590894148266	0.274	0.227	0.0842087976753794
"CHMP5"	9.80762618664434e-06	0.359039965466515	0.237	0.187	0.16107064486326
"RP11-347P5.1"	1.40228229811483e-05	0.388410810798106	0.116	0.071	0.230296821819399
"VSTM1"	1.54946466727108e-05	0.256777881952541	0.109	0.063	0.254468582305929
"ERH"	1.66147982679635e-05	0.363395217257594	0.425	0.415	0.272864831954764
"SLC2A3"	1.74966744624049e-05	0.455748688109163	0.254	0.204	0.287347884696076
